risk_name,measure_name
Aumento del nivel del mar,Barreras de protección contra inundaciones: temporales o permanentes
Aumento del nivel del mar,Colocación de dispositivos sanitarios por encima del nivel de inundación previsto
Aumento del nivel del mar,Colocación de instalaciones eléctricas y mecánicas por encima del nivel de inundación previsto
Aumento del nivel del mar,Contraventanas exteriores y refuerzos de carpinterías
Aumento del nivel del mar,Deshumidificador
Aumento del nivel del mar,Elevación del suelo de la planta baja (suelo habitable sobre-elevado)
Aumento del nivel del mar,Grupo electrógeno
Aumento del nivel del mar,Jardín de lluvia
Aumento del nivel del mar,Materiales de construcción resistentes al agua
Aumento del nivel del mar,Mejora de la estanqueidad al agua líquida (impermeabilización)
Aumento del nivel del mar,Re-dimensionamiento de sistemas de evacuación de aguas pluviales
Aumento del nivel del mar,Redes eléctricas subterráneas y protegidas
Aumento del nivel del mar,Refuerzo estructural de elementos primarios y secundarios
Aumento del nivel del mar,Revisión periódica de los sistemas de evacuación de aguas pluviales
Aumento del nivel del mar,Sistema de drenaje perimetral
Aumento del nivel del mar,Sistemas de purificación de agua en lavabos y fregaderos (fuentes y dispensadores de agua potable)
Aumento del nivel del mar,Zona ajardinada exterior/interior
Avalancha,Barreras anti-viento vegetales
Avalancha,Contraventanas exteriores y refuerzos de carpinterías
Avalancha,Disposición de juntas de dilatación o contracción
Avalancha,Filtros y sistemas de purificación de aire (filtración de aire exterior)
Avalancha,Grupo electrógeno
Avalancha,Redes eléctricas subterráneas y protegidas
Avalancha,Refuerzo estructural de elementos primarios y secundarios
Avalancha,Sistemas de purificación de agua en lavabos y fregaderos (fuentes y dispensadores de agua potable)
Cambios de temperatura,Actualización y mejora del sistema de climatización
Cambios de temperatura,Aislamiento térmico continuo y de espesor adecuado
Cambios de temperatura,Building Management System (BMS)
Cambios de temperatura,Cubierta vegetal (plana o inclinada)
Cambios de temperatura,Disposición de juntas de dilatación o contracción
Cambios de temperatura,Fachada vegetal
Cambios de temperatura,Mejora de la estanqueidad al agua líquida (impermeabilización)
Cambios de temperatura,Mejora de la hermeticidad al aire
Cambios de temperatura,Orientación y dimensionado de los huecos acristalados
Cambios de temperatura,Reflectividad de la envolvente
Cambios de temperatura,Ventilación mecánica controlada (VMC) con recuperador de calor
Cambios de temperatura,Xerojardinería: vegetación de bajos requerimientos hídricos
Cambios de temperatura,Zona ajardinada exterior/interior
Cambios en los patrones y tipos de precipitaciones,Barreras de protección contra inundaciones: temporales o permanentes
Cambios en los patrones y tipos de precipitaciones,Colocación de dispositivos sanitarios por encima del nivel de inundación previsto
Cambios en los patrones y tipos de precipitaciones,Colocación de instalaciones eléctricas y mecánicas por encima del nivel de inundación previsto
Cambios en los patrones y tipos de precipitaciones,Contraventanas exteriores y refuerzos de carpinterías
Cambios en los patrones y tipos de precipitaciones,Cubierta vegetal (plana o inclinada)
Cambios en los patrones y tipos de precipitaciones,Deshumidificador
Cambios en los patrones y tipos de precipitaciones,Elevación del suelo de la planta baja (suelo habitable sobre-elevado)
Cambios en los patrones y tipos de precipitaciones,Jardín de lluvia
Cambios en los patrones y tipos de precipitaciones,Materiales de construcción resistentes al agua
Cambios en los patrones y tipos de precipitaciones,Mejora de la estanqueidad al agua líquida (impermeabilización)
Cambios en los patrones y tipos de precipitaciones,Re-dimensionamiento de sistemas de evacuación de aguas pluviales
Cambios en los patrones y tipos de precipitaciones,Redes eléctricas subterráneas y protegidas
Cambios en los patrones y tipos de precipitaciones,Refuerzo estructural de elementos primarios y secundarios
Cambios en los patrones y tipos de precipitaciones,Revisión periódica de los sistemas de evacuación de aguas pluviales
Cambios en los patrones y tipos de precipitaciones,Separación entre la fachada y el desagüe de pluviales
Cambios en los patrones y tipos de precipitaciones,Sistema de drenaje perimetral
Cambios en los patrones y tipos de precipitaciones,Sistemas de purificación de agua en lavabos y fregaderos (fuentes y dispensadores de agua potable)
Cambios en los patrones y tipos de precipitaciones,Zona ajardinada exterior/interior
Ciclón/Huracán/Tifón,Actualización y mejora del sistema de climatización
Ciclón/Huracán/Tifón,Barreras anti-viento vegetales
Ciclón/Huracán/Tifón,Contraventanas exteriores y refuerzos de carpinterías
Ciclón/Huracán/Tifón,Filtros y sistemas de purificación de aire (filtración de aire exterior)
Ciclón/Huracán/Tifón,Grupo electrógeno
Ciclón/Huracán/Tifón,Mejora de la hermeticidad al aire
Ciclón/Huracán/Tifón,Redes eléctricas subterráneas y protegidas
Ciclón/Huracán/Tifón,Refuerzo estructural de elementos primarios y secundarios
Desprendimiento de tierras,Barreras anti-viento vegetales
Desprendimiento de tierras,Contraventanas exteriores y refuerzos de carpinterías
Desprendimiento de tierras,Disposición de juntas de dilatación o contracción
Desprendimiento de tierras,Filtros y sistemas de purificación de aire (filtración de aire exterior)
Desprendimiento de tierras,Grupo electrógeno
