Dirección,Ciudad y CP,Colecciones,Latitud,Longitud,Hub_Logístico,Superficie_Est
"Av Portal de l'Àngel, 7",Barcelona 08002,Mujer+Niños,41.3751187,2.1496764,Barcelona,Mediana (~400m²)
Av Jaume III 9,Palma 07012,Mujer,39.5823224,2.6743315,Palma,Estándar (~250-300m²)
Mar 44,Badalona 08911,Mujer,41.4472161,2.2503328,Barcelona,Estándar (~250-300m²)
Don Juan de Austria 7,Valencia 46002,Mujer,39.4705341,-0.3727651,Valencia,Estándar (~250-300m²)
Porto Pi - Av Gabriel Roca 54,Palma 07015,Mujer,39.5513979,2.6210017,Palma,Estándar (~250-300m²)
Av Alexandre Rosselló 30,Palma 07002,Mujer+Hombre,39.5823224,2.6743315,Palma,Mediana (~400m²)
Av. Maissonave 33-39,Alicante 03003,Mujer+Hombre+Niños,38.3441761,-0.4806046,Valencia,Grande (~600-800m²)
Uría 30,OVIEDO 33003,Mujer+Niños,43.3636745,-5.8505998,Santiago,Mediana (~400m²)
"CC GranCasa - Poetisa María Zambrano, 35",Zaragoza 50018,Mujer+Casa,41.6522319,-0.8810655,Zaragoza,Mediana (~400m²)
Av Ricardo Soriano 17,Marbella 29601,Mujer,36.509789,-4.8877755,Málaga,Estándar (~250-300m²)
CC Nuevo Centro - Av Pío XII 2 4 6,Valencia 46009,Mujer+Niños,39.4657654,-0.3817825,Valencia,Mediana (~400m²)
Parc Central - Av Cardenal Vidal Barraq 15,Tarragona 43005,Mujer+Niños,41.1172364,1.2546057,Barcelona,Mediana (~400m²)
Nervion Plaza - Luis de Morales S-N,Sevilla 41005,Mujer+Niños,37.3765826,-5.9860005,Sevilla,Mediana (~400m²)
CC Garbera - Travesia de Garbera 1,San Sebastián 20017,Mujer+Niños,43.3224219,-1.9838889,Bilbao,Mediana (~400m²)
CC L'Illa Diagonal - Av Diagonal 545 577,Barcelona 08029,Mujer,41.3754441,2.1489877,Barcelona,Estándar (~250-300m²)
Girona 20-22,Figueras 17600,Mujer,42.2668691,2.9613643,Barcelona,Estándar (~250-300m²)
Columela 23 bl esq jose del toro,Cádiz 11004,Mujer+Hombre,36.6879266,-6.1279838,Sevilla,Mediana (~400m²)
Las Rosas - Av Guadalajara S-N CC Las Rosas,Madrid 28037,Mujer+Niños,40.4237276,-3.6899043,Madrid,Mediana (~400m²)
Enmedio 59 - bl esq Colon 40,Castellón de la Plana 12001,Mujer+Niños,39.9579071,-0.0116314,Valencia,Mediana (~400m²)
Recogidas 11,Granada 18005,Mujer+Hombre+Niños,37.1724018,-3.6015085,Málaga,Grande (~600-800m²)
O'Donnell 7,Sevilla 41001,Mujer+Niños,37.3918087,-5.9960131,Sevilla,Mediana (~400m²)
"La Marina - Mango woman, País Valencià,2 ,1er piso local. 36",Finestrat 03509,Mujer,38.5679236,-0.2122319,Valencia,Estándar (~250-300m²)
CC Mediterraneo - Av del Mediterráneo S-N,Almería 04009,Mujer+Niños,36.8414197,-2.4628135,Málaga,Mediana (~400m²)
Major 74 76,Lleida 25007,Mujer+Hombre+Niños,41.6140444,0.6256161,Zaragoza,Grande (~600-800m²)
Héroes de Alcántara 4,Valladolid 47001,Mujer,41.6509103,-4.7289244,Madrid,Estándar (~250-300m²)
Fuencarral 70,Madrid 28004,Mujer+Hombre+Niños,40.4246837,-3.7006094,Madrid,Grande (~600-800m²)
Av Libertad 2 L3 - MUJER,Murcia 30009,Mujer,37.9923795,-1.1305431,Valencia,Estándar (~250-300m²)
