risk_name,measure_name
Aumento del nivel del mar,Zona ajardinada exterior/interior
Aumento del nivel del mar,Jardín de lluvia
Aumento del nivel del mar,Elevación del suelo de la planta baja (suelo habitable sobre-elevado)
Aumento del nivel del mar,Colocación de dispositivos sanitarios por encima del nivel de inundación previsto
Aumento del nivel del mar,Colocación de instalaciones eléctricas y mecánicas por encima del nivel de inundación previsto
Aumento del nivel del mar,Deshumidificador
Aumento del nivel del mar,Barreras de protección contra inundaciones: temporales o permanentes
Aumento del nivel del mar,Sistemas de purificación de agua en lavabos y fregaderos (fuentes y dispensadores de agua potable)
Aumento del nivel del mar,Re-dimensionamiento de sistemas de evacuación de aguas pluviales
Aumento del nivel del mar,Mejora de la estanqueidad al agua líquida (impermeabilización)
Aumento del nivel del mar,Sistema de drenaje perimetral
Aumento del nivel del mar,Materiales de construcción resistentes al agua
Aumento del nivel del mar,Grupo electrógeno
Aumento del nivel del mar,Revisión periódica de los sistemas de evacuación de aguas pluviales
Aumento del nivel del mar,Refuerzo estructural de elementos primarios y secundarios
Aumento del nivel del mar,Redes eléctricas subterráneas y protegidas
Aumento del nivel del mar,Contraventanas exteriores y refuerzos de carpinterías

Inundación costera/fluvual/pluvial,Zona ajardinada exterior
Inundación costera/fluvual/pluvial,Jardín de lluvia
Inundación costera/fluvual/pluvial,Elevación del suelo de la planta baja (suelo habitable sobre-elevado)
Inundación costera/fluvual/pluvial,Colocación de dispositivos sanitarios por encima del nivel de inundación previsto
Inundación costera/fluvual/pluvial,Colocación de instalaciones eléctricas y mecánicas por encima del nivel de inundación previsto
Inundación costera/fluvual/pluvial,Deshumidificador
Inundación costera/fluvual/pluvial,Barreras de protección contra inundaciones: temporales o permanentes
Inundación costera/fluvual/pluvial,Sistemas de purificación de agua en lavabos y fregaderos (fuentes y dispensadores de agua potable)
Inundación costera/fluvual/pluvial,Re-dimensionamiento de sistemas de evacuación de aguas pluviales
Inundación costera/fluvual/pluvial,Mejora de la estanqueidad al agua líquida (impermeabilización)
Inundación costera/fluvual/pluvial,Sistema de drenaje perimetral
Inundación costera/fluvual/pluvial,Materiales de construcción resistentes al agua
Inundación costera/fluvual/pluvial,Grupo electrógeno
Inundación costera/fluvual/pluvial,Revisión periódica de los sistemas de evacuación de aguas pluviales
Inundación costera/fluvual/pluvial,Refuerzo estructural de elementos primarios y secundarios
Inundación costera/fluvual/pluvial,Redes eléctricas subterráneas y protegidas
Inundación costera/fluvual/pluvial,Contraventanas exteriores y refuerzos de carpinterías

